Season,Team,Matches_Played,Wins,Draws,Losses,Points,Goals_For,Goals_Against,Goal_Difference,Total_xG,Total_xGA,Average_Possession,Total_Shots,Total_Shots_on_Target,Average_Distance_per_Shot,Total_FK,Total_PK_Attempted,Total_PK_Scored,Win_Percentage,Draw_Percentage,Loss_Percentage,Position
2021-2022,Milan,38,26,8,4,86,69,31,38,59.9,35.7,54.03,592,187,18.47,23,8,5,68.42,21.05,10.53,1
2021-2022,Internazionale,38,25,9,4,84,84,32,52,81.4,39.1,56.5,667,239,16.17,13,11,7,65.79,23.68,10.53,2
2021-2022,Napoli,38,24,7,7,79,74,31,43,58.1,32.7,58.34,565,186,18.33,25,14,10,63.16,18.42,18.42,3
2021-2022,Juventus,38,20,10,8,70,57,37,20,51.6,38.0,51.53,517,166,17.12,18,6,5,52.63,26.32,21.05,4
2021-2022,Lazio,38,18,10,10,64,77,58,19,55.2,47.7,55.37,445,185,17.49,14,9,7,47.37,26.32,26.32,5
2021-2022,Roma,38,18,9,11,63,59,43,16,65.2,38.1,51.37,592,184,17.21,21,9,7,47.37,23.68,28.95,6
2021-2022,Fiorentina,38,19,5,14,62,59,51,8,60.0,40.6,57.71,501,172,17.25,25,12,9,50.0,13.16,36.84,7
2021-2022,Atalanta,38,16,11,11,59,65,48,17,62.3,45.4,54.97,598,167,16.58,16,6,5,42.11,28.95,28.95,8
2021-2022,Hellas Verona,38,14,11,13,53,65,59,6,50.4,48.7,50.58,455,152,17.51,15,8,7,36.84,28.95,34.21,9
2021-2022,Sassuolo,38,13,11,14,50,64,66,-2,55.5,66.4,54.89,569,204,18.73,14,7,7,34.21,28.95,36.84,10
2021-2022,Torino,38,13,11,14,50,46,41,5,48.7,38.6,53.26,470,142,17.29,16,6,6,34.21,28.95,36.84,11
2021-2022,Udinese,38,11,14,13,47,61,58,3,51.4,52.7,42.68,505,181,17.93,19,4,3,28.95,36.84,34.21,12
2021-2022,Bologna,38,12,10,16,46,44,55,-11,44.7,52.6,50.61,434,143,18.28,14,5,4,31.58,26.32,42.11,13
2021-2022,Empoli,38,10,11,17,41,50,70,-20,45.0,65.8,47.39,490,151,18.8,16,7,7,26.32,28.95,44.74,14
2021-2022,Sampdoria,38,10,6,22,36,46,63,-17,36.7,56.0,46.13,386,118,18.17,12,4,2,26.32,15.79,57.89,15
2021-2022,Spezia,38,10,6,22,36,41,71,-30,40.1,64.2,42.74,381,127,18.92,17,5,3,26.32,15.79,57.89,16
2021-2022,Salernitana,38,7,10,21,31,33,78,-45,36.2,65.3,41.21,426,130,18.35,20,5,4,18.42,26.32,55.26,17
2021-2022,Cagliari,38,6,12,20,30,34,68,-34,38.7,61.1,44.47,420,117,17.6,17,4,3,15.79,31.58,52.63,18
2021-2022,Genoa,38,4,16,18,28,27,60,-33,37.3,54.3,43.92,397,106,18.58,12,7,6,10.53,42.11,47.37,19
2021-2022,Venezia,38,6,9,23,27,34,69,-35,36.5,71.9,42.29,349,113,18.22,22,5,3,15.79,23.68,60.53,20
